t,bead x,bead y,bead z,cam x,cam y,cam z,act x,act y1,act z,act y2,curr 1,curr 2,curr 3,curr 4,ps power
  16.0915, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  16.1874, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  16.3224, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  16.4457, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  16.6220, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  16.8620, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  17.1584, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  17.3714, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  17.5081, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  17.6069, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
  17.7581, 0.0541, 0.0084,-0.0267,-0.0319, 0.0519,-0.0267, 0.9338, 0.4880, 6.0446, 1.6710, 0.0000, 0.0000, 0.0000, 0.0000,False
