t,bead x,bead y,bead z,focus1,focus2
 271.6830, 0.0031,-0.0051, 0.4930,1.6570356715,1.46823330883
 271.9420, 0.0031,-0.0051, 0.4930,1.65035133492,1.46917293523
 272.1754, 0.0031,-0.0051, 0.4930,1.65032993749,1.47110410232
 272.4518, 0.0031,-0.0051, 0.4930,1.63954356824,1.4695715922
 272.6909, 0.0031,-0.0056, 0.4930,1.66129140394,1.47053753397
 272.8353, 0.0031,-0.0056, 0.4930,1.65106051744,1.47134815393
 272.9704, 0.0031,-0.0056, 0.4930,1.65209811487,1.46807502317
 273.2073, 0.0031,-0.0056, 0.4930,1.6438523207,1.46150115894
 273.5030, 0.0031,-0.0056, 0.4930,1.65182117059,1.471022923
 273.7759, 0.0031,-0.0056, 0.4930,1.64473491498,1.46143281451
 274.0096, 0.0031,-0.0056, 0.4930,1.64976755256,1.46805605184
 274.2591, 0.0031,-0.0056, 0.4930,1.64916686447,1.47208746361
 274.5154, 0.0031,-0.0056, 0.4930,1.6611761601,1.46860436077
 274.6174, 0.0031,-0.0056, 0.4930,1.64368241292,1.47135726626
 274.8992, 0.0031,-0.0056, 0.4930,1.65331897895,1.4688892386
 275.1556, 0.0031,-0.0056, 0.4930,1.64607290627,1.46972267575
 275.3963, 0.0031,-0.0056, 0.4930,1.65235375791,1.46786024552
 275.6597, 0.0031,-0.0056, 0.4930,1.64647165006,1.47268211771
 275.9010, 0.0031,-0.0056, 0.4930,1.64457723211,1.46299048266
 276.2479, 0.0031,-0.0056, 0.4930,1.64518706006,1.46481628583
 276.4461, 0.0031,-0.0056, 0.4930,1.65332434418,1.46965616371
 276.6988, 0.0031,-0.0056, 0.4930,1.65065325268,1.45718962674
 276.9406, 0.0031,-0.0056, 0.4930,1.64511882597,1.47469258205
 277.1991, 0.0031,-0.0056, 0.4930,1.64714525311,1.47345139106
 277.4548, 0.0031,-0.0056, 0.4930,1.64147691408,1.47390128182
 277.7204, 0.0031,-0.0056, 0.4930,1.6414273329,1.47178408808
 277.8610, 0.0031,-0.0061, 0.4930,1.65003852617,1.46845055448
 278.0936, 0.0031,-0.0061, 0.4930,1.64014791046,1.4649851416
 278.3893, 0.0031,-0.0061, 0.4930,1.64572719911,1.47523478594
 278.6487, 0.0031,-0.0061, 0.4930,1.64949741463,1.46924432129
 278.8679, 0.0031,-0.0061, 0.4930,1.64640728101,1.4678605808
 279.1600, 0.0031,-0.0061, 0.4930,1.64703174459,1.46766873922
 279.5270, 0.0031,-0.0061, 0.4930,1.64094868469,1.46573770075
 279.8239, 0.0031,-0.0061, 0.4930,1.65043426853,1.46999093507
 280.0243, 0.0031,-0.0061, 0.4930,1.65129889726,1.45888289914
 280.3353, 0.0031,-0.0061, 0.4930,1.63982802975,1.4694445732
 280.5582, 0.0031,-0.0061, 0.4930,1.64092184676,1.46812471005
 280.8503, 0.0031,-0.0061, 0.4930,1.64511601694,1.47290657114
 281.2057, 0.0031,-0.0061, 0.4930,1.64943203577,1.45920513781
 281.5393, 0.0031,-0.0061, 0.4930,1.64478641172,1.4720041102
 281.7041, 0.0031,-0.0061, 0.4930,1.63457151627,1.46358067769
 281.9657, 0.0031,-0.0061, 0.4930,1.64155627287,1.47039012591
 282.2235, 0.0031,-0.0061, 0.4930,1.6374216726,1.47573778773
 282.5095, 0.0031,-0.0061, 0.4930,1.64337152694,1.45453737056
 282.7421, 0.0031,-0.0066, 0.4930,1.63720283266,1.47395544157
 283.0184, 0.0031,-0.0066, 0.4930,1.64749024277,1.46921512907
 283.3129, 0.0031,-0.0066, 0.4930,1.64829692281,1.47044134075
 283.4985, 0.0031,-0.0066, 0.4930,1.64358260455,1.47281287866
 283.7553, 0.0031,-0.0066, 0.4930,1.62899326697,1.46346086229
 284.0178, 0.0031,-0.0066, 0.4930,1.63977206826,1.4681428724
 284.2685, 0.0031,-0.0066, 0.4930,1.64115005399,1.46838397064
 284.5249, 0.0031,-0.0066, 0.4930,1.63518725637,1.46562293586
 284.6640, 0.0031,-0.0066, 0.4930,1.63998130398,1.47459605163
 284.9175, 0.0031,-0.0066, 0.4930,1.64175925812,1.46356874653
 285.1769, 0.0031,-0.0066, 0.4930,1.64717273588,1.46346487805
 285.4346, 0.0031,-0.0066, 0.4930,1.64336622681,1.46938126149
 285.7219, 0.0031,-0.0066, 0.4930,1.6357338571,1.4717841121
 285.9391, 0.0031,-0.0066, 0.4930,1.64265058852,1.46925133619
 286.3678, 0.0031,-0.0066, 0.4930,1.64252994786,1.47191736575
 286.5962, 0.0031,-0.0066, 0.4930,1.63278994838,1.46667804227
 286.8561, 0.0031,-0.0066, 0.4930,1.63855444827,1.47416334667
 287.0889, 0.0031,-0.0066, 0.4930,1.64020833761,1.46761427691
 287.3567, 0.0031,-0.0066, 0.4930,1.64268785576,1.46188759598
 287.6287, 0.0031,-0.0066, 0.4930,1.6409164419,1.46905890663
 287.8801, 0.0031,-0.0071, 0.4930,1.64111170129,1.47219198174
 288.1353, 0.0031,-0.0071, 0.4930,1.63912902019,1.45956711837
 288.3613, 0.0031,-0.0071, 0.4930,1.64152633671,1.46890574348
 288.6554, 0.0031,-0.0071, 0.4930,1.63449895249,1.47596194055
 288.9143, 0.0031,-0.0071, 0.4930,1.63795383488,1.46697911357
 289.1336, 0.0031,-0.0071, 0.4930,1.6419135939,1.47191335672
 289.4031, 0.0031,-0.0071, 0.4930,1.64057655799,1.46656292609
 289.6731, 0.0031,-0.0071, 0.4930,1.63359951336,1.46354402541
 289.9081, 0.0031,-0.0071, 0.4930,1.64452502474,1.47142951175
 290.1753, 0.0031,-0.0071, 0.4930,1.63083945957,1.47017475232
 290.4411, 0.0031,-0.0071, 0.4930,1.64409061369,1.47316429946
 290.7358, 0.0031,-0.0071, 0.4930,1.63684729151,1.46636471968
 290.9650, 0.0031,-0.0071, 0.4930,1.64241735639,1.4683829759
 291.3097, 0.0031,-0.0071, 0.4930,1.62880771162,1.46372542478
 291.5838, 0.0031,-0.0071, 0.4930,1.63814686508,1.47002634969
 291.8284, 0.0031,-0.0071, 0.4930,1.64046308002,1.47480443654
 292.1003, 0.0031,-0.0071, 0.4930,1.63941783947,1.46115669969
 292.3640, 0.0031,-0.0071, 0.4930,1.6319776899,1.46204771893
 292.6185, 0.0031,-0.0076, 0.4930,1.63084276239,1.46819853159
 292.8587, 0.0031,-0.0076, 0.4930,1.63989501133,1.472053551
 292.9965, 0.0031,-0.0076, 0.4930,1.64005758265,1.47418438483
 293.1562, 0.0031,-0.0076, 0.4930,1.64117742266,1.46600830326
 293.4285, 0.0031,-0.0076, 0.4930,1.63974295055,1.47158176159
 293.6610, 0.0031,-0.0076, 0.4930,1.63836123107,1.47304999511
 293.8887, 0.0031,-0.0076, 0.4930,1.63440321387,1.46763557897
 294.1492, 0.0031,-0.0076, 0.4930,1.63644450568,1.4736481067
 294.4147, 0.0031,-0.0076, 0.4930,1.63591414341,1.47309003352
 294.6694, 0.0031,-0.0076, 0.4930,1.63540120315,1.47620779365
 294.9297, 0.0031,-0.0076, 0.4930,1.64270443235,1.47402186496
 295.5604, 0.0031,-0.0076, 0.4930,1.63797284211,1.46259808911
 295.5770, 0.0031,-0.0076, 0.4930,1.64235635252,1.46359867365
 295.7482, 0.0031,-0.0076, 0.4930,1.63266520216,1.46366536113
 295.9501, 0.0031,-0.0076, 0.4930,1.63119459477,1.46732055424
 296.2179, 0.0026,-0.0076, 0.4930,1.62426519514,1.46473802784
 296.4790, 0.0026,-0.0076, 0.4930,1.63253416634,1.46864237391
 296.7407, 0.0031,-0.0076, 0.4930,1.6362727595,1.46654077234
 296.9694, 0.0031,-0.0081, 0.4930,1.64162060013,1.46790922269
 297.2358, 0.0031,-0.0081, 0.4930,1.63331902809,1.46294673094
 297.5014, 0.0031,-0.0081, 0.4930,1.64127083579,1.46162273724
 297.7535, 0.0031,-0.0081, 0.4930,1.63825934566,1.46932004361
 298.0062, 0.0031,-0.0081, 0.4930,1.63595689847,1.46566314254
 298.2972, 0.0026,-0.0081, 0.4930,1.64273642162,1.47043388102
 298.5491, 0.0031,-0.0081, 0.4930,1.64400904736,1.47006894852
 298.7804, 0.0031,-0.0081, 0.4930,1.63515561406,1.45763607215
 299.0491, 0.0026,-0.0081, 0.4930,1.63522566764,1.4628189604
 299.2853, 0.0026,-0.0081, 0.4930,1.63148277171,1.4639066285
 299.5577, 0.0026,-0.0081, 0.4930,1.63511593698,1.46187152232
 299.6962, 0.0026,-0.0081, 0.4930,1.64417840532,1.46909847922
 299.9227, 0.0026,-0.0081, 0.4930,1.63975709561,1.47293121133
 300.1982, 0.0026,-0.0081, 0.4930,1.62542122087,1.47443583137
 300.4363, 0.0026,-0.0081, 0.4930,1.63716162435,1.46696756743
 300.7157, 0.0026,-0.0081, 0.4930,1.6369400786,1.46502340036
 300.9758, 0.0026,-0.0081, 0.4930,1.6438899947,1.46232626817
 301.2526, 0.0026,-0.0081, 0.4930,1.64108700348,1.47636053424
 301.4743, 0.0026,-0.0081, 0.4930,1.6354004239,1.46826761696
 301.7212, 0.0026,-0.0086, 0.4930,1.64239909845,1.47018269015
 301.9946, 0.0026,-0.0081, 0.4930,1.63868724314,1.45653173545
 302.2406, 0.0026,-0.0086, 0.4930,1.6369946062,1.46570206077
 302.4877, 0.0026,-0.0086, 0.4930,1.6288248583,1.46019186467
 302.7618, 0.0026,-0.0086, 0.4930,1.63263465589,1.4730076412
 303.0253, 0.0026,-0.0086, 0.4930,1.62841786327,1.45746621222
 303.1496, 0.0026,-0.0086, 0.4930,1.6349007236,1.46264782895
 303.4502, 0.0026,-0.0086, 0.4930,1.63575868919,1.46911302955
 303.6717, 0.0026,-0.0086, 0.4930,1.63697586194,1.46766059492
 303.9293, 0.0026,-0.0086, 0.4930,1.63226987637,1.46923428981
 304.1657, 0.0026,-0.0086, 0.4930,1.63265911022,1.46863198469
 304.4338, 0.0026,-0.0086, 0.4930,1.63347838742,1.46753743795
 304.6927, 0.0026,-0.0086, 0.4930,1.6452311225,1.4682729832
 304.8254, 0.0026,-0.0086, 0.4930,1.63504079638,1.46521806355
 305.0657, 0.0026,-0.0086, 0.4930,1.64004546738,1.46485049942
 305.3376, 0.0026,-0.0086, 0.4930,1.63356408176,1.46327898325
 305.5804, 0.0026,-0.0086, 0.4930,1.63992677435,1.46038566021
 305.8678, 0.0026,-0.0086, 0.4930,1.642517834,1.4680735932
 306.1087, 0.0026,-0.0086, 0.4930,1.63756428425,1.46931703228
